Rank,Fighter Name,Age,Reach (in),SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Last Fight Result
C,Merab Dvalishvili,33,68,4.21,40%,2.31,60%,6.54,45%,78%,0.3,W(DEC)
1,Sean O'Malley,30,72,7.43,60%,4.09,64%,0.45,50%,60%,0.3,L(DEC)
2,Umar Nurmagomedov,28,69,4.35,54%,1.45,70%,4.00,60%,85%,1.5,W(SUB)
3,Cory Sandhagen,32,70,6.15,44%,4.21,56%,0.71,50%,64%,0.4,W(DEC)
4,Marlon Vera,31,70.5,4.27,51%,4.08,50%,0.68,42%,69%,1.1,L(DEC)
5,Deiveson Figueiredo,36,68,3.27,56%,2.80,52%,1.48,50%,58%,1.8,W(TKO)
6,Pedro Munhoz,38,65,5.53,43%,6.17,57%,0.64,21%,81%,0.3,W(DEC)
7,Rob Font,37,71.5,5.52,42%,3.95,60%,1.10,36%,55%,0.2,W(DEC)
8,Dominick Cruz,39,68,3.52,32%,2.30,74%,3.17,44%,83%,0.1,L(TKO)
9,Song Yadong,26,67,4.55,42%,3.78,56%,0.45,75%,71%,0.2,W(TKO)
10,Ricky Simon,32,69,3.04,44%,2.89,64%,6.76,52%,72%,0.3,L(SUB)
11,Adrian Yanez,30,70,6.62,40%,5.49,56%,0.00,0%,100%,0.0,L(TKO)
12,Raoni Barcelos,37,67,5.59,52%,3.90,59%,2.00,40%,92%,0.5,L(TKO)
13,Chris Gutierrez,33,67,4.66,58%,2.66,64%,0.38,37%,73%,0.0,L(DEC)
14,Jonathan Martinez,30,69.5,4.84,49%,3.89,58%,0.52,50%,73%,0.2,W(DEC)
15,Douglas Silva de Andrade,39,68.5,3.61,38%,3.95,58%,0.75,50%,66%,0.3,W(DEC)
7,Henry Cejudo,38,64,4.07,46%,3.47,59%,2.15,52%,71%,0.0, L(DEC)
