Rank,Fighter Name,Age,Reach (in),SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Last Fight Result
C,Ilia Topuria,27,69,3.32,53%,2.51,64%,1.00,46%,92%,1.0,W(KO)
1,Alexander Volkanovski,36,71.5,6.35,56%,3.34,60%,1.52,34%,70%,0.3,L(KO)
2,Max Holloway,32,69,7.24,47%,4.89,59%,0.29,83%,84%,0.3,L(KO)
3,Brian Ortega,33,69,4.15,38%,6.28,50%,0.80,21%,56%,1.2,L(TKO)
4,Arnold Allen,30,70,3.31,42%,2.22,67%,1.35,50%,76%,0.2,L(DEC)
5,Calvin Kattar,36,72,5.19,41%,7.15,53%,0.44,29%,89%,0.1,L(TKO)
6,Josh Emmett,39,70,4.28,37%,4.29,62%,1.25,38%,58%,0.1,L(SUB)
7,Yair Rodriguez,31,71,4.78,45%,4.12,53%,0.67,28%,62%,0.6,L(TKO)
8,Giga Chikadze,36,74,3.76,42%,3.62,60%,0.38,33%,68%,0.2,W(DEC)
9,Movsar Evloev,30,72.5,4.36,46%,2.79,63%,4.83,47%,71%,0.3,W(DEC)
10,Bryce Mitchell,29,70,2.41,60%,1.39,61%,3.40,44%,33%,1.0,L(DEC)
11,Dan Ige,33,71,4.00,46%,3.53,57%,1.36,25%,55%,0.2,W(KO)
12,Sodiq Yusuff,31,71,5.29,49%,3.55,57%,0.00,0%,72%,0.0,L(SUB)
13,Edson Barboza,38,75,4.11,44%,4.12,59%,0.44,44%,78%,0.1,W(KO)
14,Alex Caceres,36,73.5,4.13,51%,2.98,64%,0.54,70%,64%,0.5,W(DEC)
15,Pat Sabatini,33,70,1.89,47%,1.89,55%,4.00,50%,50%,1.0,W(SUB)
