Rank,Fighter Name,Age,Reach (in),SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Last Fight Result
C,Jon Jones,36,84.5,4.30,57%,2.22,64%,1.85,44%,95%,0.4,W(SUB)
1,Tom Aspinall,31,78,7.33,65%,2.45,60%,4.07,100%,80%,2.0,W(TKO)
2,Ciryl Gane,34,81,5.11,60%,2.25,62%,0.62,21%,45%,0.1,W(KO)
3,Sergei Pavlovich,32,84,8.07,51%,4.30,45%,0.00,0%,70%,0.0,W(KO)
4,Curtis Blaydes,33,80,3.54,53%,2.00,60%,6.27,54%,33%,0.0,L(TKO)
5,Alexander Volkov,36,80,4.88,57%,2.95,55%,0.53,70%,75%,0.2,W(KO)
6,Stipe Miocic,42,80,4.90,52%,3.17,55%,2.20,34%,70%,0.2,L(KO)
7,Jailton Almeida,33,79,3.45,60%,1.20,55%,6.80,70%,85%,2.5,W(SUB)
8,Marcin Tybura,38,78,3.55,50%,2.80,55%,1.48,32%,82%,0.2,L(DEC)
9,Serghei Spivac,29,78,3.79,52%,2.97,55%,4.70,63%,50%,0.8,L(TKO)
10,Derrick Lewis,39,79,2.57,50%,2.16,44%,0.48,28%,55%,0.0,W(KO)
11,Tai Tuivasa,31,75,4.54,50%,3.56,46%,0.00,0%,52%,0.0,L(KO)
12,Jairzinho Rozenstruik,36,78,2.80,46%,3.23,45%,0.00,0%,75%,0.0,L(TKO)
13,Alexandr Romanov,33,75,3.78,48%,2.20,55%,4.00,62%,20%,1.0,W(DEC)
14,Marcos Rogerio de Lima,39,75,3.62,55%,2.80,50%,1.20,50%,60%,0.5,L(DEC)
15,Rodrigo Nascimento,31,80,4.00,50%,3.00,55%,1.50,40%,70%,0.8,L(DEC)
