Rank,Fighter Name,Age,Reach (in),SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Last Fight Result
C,Alex Pereira,37,79,6.29,60%,3.63,53%,0.00,0%,73%,0.0,W(KO)
1,Jiří Procházka,32,80,7.19,56%,6.80,40%,0.00,0%,50%,0.5,L(KO)
2,Magomed Ankalaev,32,75,3.60,54%,2.14,60%,1.14,33%,86%,0.3,W(DEC)
3,Jamahal Hill,33,79,7.12,52%,3.48,45%,0.00,0%,65%,0.0,L(KO)
4,Jan Błachowicz,41,78,3.55,49%,2.77,54%,1.08,53%,66%,0.2,L(DEC)
5,Aleksandar Rakić,32,78,4.23,52%,2.23,53%,0.61,28%,90%,0.1,L(DEC)
6,Nikita Krylov,32,77.5,4.45,55%,3.15,50%,1.50,40%,60%,0.8,W(SUB)
7,Johnny Walker,32,82,3.42,60%,2.75,40%,0.40,100%,62%,0.4,W(KO)
8,Khalil Rountree Jr.,34,76,3.46,50%,3.15,45%,0.00,0%,50%,0.0,L(KO)
9,Volkan Oezdemir,35,75,4.75,46%,3.95,50%,0.40,20%,80%,0.0,L(DEC)
10,Anthony Smith,36,76,3.18,47%,4.30,42%,0.46,28%,51%,0.5,L(TKO)
11,Carlos Ulberg,33,77,6.00,65%,2.00,60%,0.00,0%,75%,0.0,W(KO)
12,Bogdan Guskov,30,76,4.00,50%,3.00,55%,1.00,40%,70%,0.5,W(DEC)
13,Alonzo Menifield,36,76,3.78,55%,3.20,45%,0.80,25%,60%,0.3,L(DEC)
14,Azamat Murzakanov,35,71,4.00,60%,2.50,50%,0.50,30%,70%,0.5,W(KO)
15,Dominick Reyes,34,77,4.53,52%,3.00,50%,0.30,20%,80%,0.2,L(KO)
