Rank,Fighter Name,Age,Reach (in),SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Last Fight Result
C,Islam Makhachev,32,70.5,2.31,60%,0.95,68%,3.42,65%,88%,1.2,W(KO)
1,Charles Oliveira,35,74,3.48,53%,3.18,53%,2.46,40%,57%,2.8,W(SUB)
2,Arman Tsarukyan,28,72,3.79,45%,2.40,56%,3.47,37%,78%,0.6,W(DEC)
3,Dustin Poirier,35,72,5.51,50%,4.25,54%,1.53,36%,61%,1.3,L(SUB)
4,Justin Gaethje,35,70,7.38,60%,7.66,55%,0.00,0%,75%,0.0,W(KO)
5,Beneil Dariush,35,72,3.80,49%,2.55,58%,2.11,34%,81%,0.8,L(KO)
6,Michael Chandler,38,71.5,5.17,46%,4.87,45%,1.83,36%,71%,0.5,L(SUB)
7,Rafael Fiziev,31,71.5,4.81,50%,4.86,50%,0.36,50%,92%,0.1,L(DEC)
8,Dan Hooker,34,75,4.95,48%,4.89,52%,0.90,34%,78%,0.3,W(DEC)
9,Grant Dawson,30,72,3.61,52%,1.86,55%,3.44,35%,50%,1.5,W(SUB)
10,Renato Moicano,35,72,5.12,48%,3.69,63%,1.72,47%,78%,1.3,W(SUB)
11,Matt Frevola,34,71,3.35,40%,3.95,55%,2.00,37%,40%,0.8,W(KO)
12,Jalin Turner,29,77,6.48,47%,4.53,44%,0.82,80%,78%,1.4,L(SUB)
13,Diego Ferreira,39,74,4.82,37%,3.60,55%,0.98,19%,65%,0.5,L(KO)
14,Damir Ismagulov,33,74,3.68,40%,2.50,60%,1.00,28%,90%,0.1,L(DEC)
15,Thiago Moises,29,70.5,2.67,37%,3.67,58%,1.00,33%,63%,0.8,W(SUB)
