Rank,Fighter Name,Age,Reach (in),SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Last Fight Result
C,Belal Muhammad,35,72,4.75,42%,3.61,60%,2.00,35%,91%,0.2,W(DEC)
1,Colby Covington,36,72,4.14,38%,2.86,55%,4.10,46%,78%,0.1,W(DEC)
2,Leon Edwards,32,74,2.59,52%,2.28,55%,1.39,33%,70%,0.2,L(DEC)
3,Kamaru Usman,37,76,4.66,53%,2.33,57%,3.00,48%,100%,0.1,L(DEC)
4,Gilbert Burns,38,71,3.42,46%,3.24,54%,2.00,35%,50%,0.6,L(DEC)
5,Shavkat Rakhmonov,29,77,4.45,53%,2.30,50%,1.00,50%,100%,1.0,W(SUB)
6,Stephen Thompson,41,75,4.06,43%,2.81,58%,0.32,45%,63%,0.1,L(KO)
7,Geoff Neal,34,75,4.63,49%,4.30,60%,0.25,50%,85%,0.0,L(SUB)
8,Sean Brady,31,72.5,4.15,55%,3.54,56%,3.00,60%,87%,0.5,L(TKO)
9,Michael Chiesa,36,75.5,2.89,40%,1.72,60%,3.60,52%,68%,0.5,L(DEC)
10,Neil Magny,37,80,3.67,46%,2.33,57%,2.00,40%,58%,0.3,W(DEC)
11,Vicente Luque,32,76,5.65,53%,5.10,52%,0.66,50%,64%,0.5,W(DEC)
12,Joaquin Buckley,30,76,3.95,40%,3.20,55%,1.00,45%,70%,0.2,W(KO)
13,Ian Garry,26,74,5.00,50%,3.00,60%,0.50,40%,75%,0.1,W(DEC)
14,Jack Della Maddalena,28,73,6.00,55%,4.00,50%,0.25,30%,80%,0.0,W(DEC)
15,Kevin Holland,31,81,4.14,54%,3.90,50%,1.00,40%,50%,0.8,L(SUB)
